"""Save this card for future use""","""Save this card for future use"""
"""Delete Credit Card""","""Delete Credit Card"""
"""Please confirm that you want to delete this credit card""","""Please confirm that you want to delete this credit card"""
"""Credit Card Type""","""Credit Card Type"""
"""Credit Card Number""","""Credit Card Number"""
"""Expiration Date""","""Expiration Date"""
"""Cardholder Name""","""Cardholder Name"""
"""Delete""","""Delete"""
"""Back""","""Back"""
"""Close""","""Close"""
"""Card Verification Number Visual Reference""","""Card Verification Number Visual Reference"""
"""Credit Card""","""Credit Card"""
"""* Required Fields""","""* Required Fields"""
"""Credit Card Type""","""Credit Card Type"""
"""Credit Card Number""","""Credit Card Number"""
"""Expiration Date""","""Expiration Date"""
"""Card Verification Number""","""Card Verification Number"""
"""What is this?""","""What is this?"""
"""Make Default""","""Make Default"""
"""Submit""","""Submit"""
"""Add Credit Card""","""Add Credit Card"""
"""Type""","""Type"""
"""Card Number""","""Card Number"""
"""Expire Date""","""Expire Date"""
"""Is Default""","""Is Default"""
"""Actions""","""Actions"""
"""Yes""","""Yes"""
"""No""","""No"""
"""Edit""","""Edit"""
"""Delete""","""Delete"""
"""Payment Information""","""Payment Information"""
"""Add new card""","""Add new card"""
